expID	subjectNo	expNo	expType	date	time
s28e9af	28	9	af	2011-01-14	16:00:08
s28e5oi	28	5	oi	2011-01-13	14:57:33
s28e12ef	28	12	ef	2011-01-16	11:00:30
s28e1td	28	1	td	NA	NA
s28e8ef	28	8	ef	2011-01-14	12:48:41
s28e17oi	28	17	oi	2011-01-18	14:37:43
s27e1td	27	1	td	NA	NA
s27e6sr	27	6	sr	2010-11-13	14:17:38
s27e4oi	27	4	oi	2010-11-12	16:17:46
s27e10cr	27	10	cr	NA	NA
s27e7rp	27	7	rp	2010-11-13	14:29:11
s27e2td	27	2	td	NA	NA
s27e5ef	27	5	ef	2010-11-12	16:54:07
s27e9oi	27	9	oi	2010-11-14	12:03:15
s27e3cr	27	3	cr	2010-11-12	15:53:30
s27e8cf	27	8	cf	NA	NA
s34e1td	34	1	td	NA	NA
s34e2sr	34	2	sr	2011-06-30	17:59:50
s34e10cf	34	10	cf	NA	NA
s34e6cf	34	6	cf	NA	NA
s34e9rp	34	9	rp	NA	NA
s34e3vi	34	3	vi	NA	NA
s34e4ir	34	4	ir	2011-07-01	11:15:15
s34e5ir	34	5	ir	2011-07-01	16:46:31
s34e8rk	34	8	rk	NA	NA
s34e11ef	34	11	ef	2011-07-05	16:44:14
s34e7ir	34	7	ir	2011-07-02	12:38:37
s44e4vi	44	4	vi	NA	NA
s44e2st	44	2	st	NA	NA
s44e6sr	44	6	sr	2012-09-14	17:14:28
s44e13cf	44	13	cf	NA	NA
s44e10st	44	10	st	2012-09-16	15:53:19
s44e7ir	44	7	ir	NA	NA
s44e14rk	44	14	rk	NA	NA
s44e5rk	44	5	rk	NA	NA
s44e11rk	44	11	rk	NA	NA
s44e1td	44	1	td	NA	NA
s44e9ir	44	9	ir	NA	NA
s44e8ir	44	8	ir	NA	NA
s44e3rk	44	3	rk	NA	NA
s44e12ef	44	12	ef	2012-09-17	11:46:54
s44e16cf	44	16	cf	NA	NA
s50e3rk	50	3	rk	NA	NA
s50e7ir	50	7	ir	NA	NA
s50e8cf	50	8	cf	NA	NA
s50e9rk	50	9	rk	NA	NA
s50e4ir	50	4	ir	NA	NA
s50e2st	50	2	st	2013-04-04	16:07:41
s50e1td	50	1	td	NA	NA
s50e6ir	50	6	ir	NA	NA
s50e5bl	50	5	bl	2013-04-05	14:54:08
s41e3ir	41	3	ir	NA	NA
s41e9rk	41	9	rk	NA	NA
s41e4ir	41	4	ir	NA	NA
s41e10cf	41	10	cf	NA	NA
s41e2rp	41	2	rp	NA	NA
s41e1td	41	1	td	NA	NA
s41e5ir	41	5	ir	NA	NA
s41e8rk	41	8	rk	NA	NA
s41e7vi	41	7	vi	NA	NA
s41e6rk	41	6	rk	NA	NA
