expID	subjectNo	expNo	expType	date	time
s18e13rp	18	13	rp	2009-12-19	11:32:59
s18e10sr	18	10	sr	2009-12-18	10:43:27
s18e3rp	18	3	rp	2009-12-15	15:17:24
s18e16sr	18	16	sr	2009-12-21	14:49:31
s18e11cc	18	11	cc	2009-12-18	15:46:04
s18e23oi	18	23	oi	1969-12-31	18:31:03
s18e5cc	18	5	cc	2009-12-16	10:59:10
s18e6oi	18	6	oi	2009-12-16	14:51:56
s18e22sp	18	22	sp	1969-12-31	18:07:09
s18e21oi	18	21	oi	1969-12-31	17:50:56
s18e17oi	18	17	oi	2009-12-22	10:36:18
s18e14ef	18	14	ef	2009-12-19	16:08:55
s18e2td	18	2	td	NA	NA
s18e19rp	18	19	rp	2009-12-22	17:37:08
s18e9oi	18	9	oi	2009-12-17	14:29:22
s18e20cr	18	20	cr	1969-12-31	17:13:04
s32e11rk	32	11	rk	NA	NA
s32e8rp	32	8	rp	NA	NA
s32e5sr	32	5	sr	2011-06-09	14:25:57
s32e2ir	32	2	ir	2011-06-07	11:33:22
s32e9sr	32	9	sr	2011-06-10	15:57:40
s32e10cf	32	10	cf	NA	NA
s32e4ir	32	4	ir	2011-06-08	13:56:41
s32e6vi	32	6	vi	NA	NA
s32e1td	32	1	td	NA	NA
s32e7cf	32	7	cf	NA	NA
s32e3rk	32	3	rk	NA	NA
s32e12ef	32	12	ef	NA	NA
s23e11cr	23	11	cr	2010-10-02	14:03:41
s23e15cr	23	15	cr	2010-10-04	18:17:40
s23e6sr	23	6	sr	2010-09-30	15:52:58
s23e13sr	23	13	sr	2010-10-03	12:12:18
s23e5cr	23	5	cr	2010-09-30	15:24:14
s23e7ef	23	7	ef	2010-09-30	17:12:55
s23e14oi	23	14	oi	2010-10-03	16:10:40
s23e17rp	23	17	rp	2010-10-05	11:57:19
s23e16cf	23	16	cf	2010-10-04	18:38:42
s23e18cf	23	18	cf	NA	NA
s23e8oi	23	8	oi	2010-10-01	11:36:29
s23e1td	23	1	td	NA	NA
s23e4rp	23	4	rp	2010-09-30	11:40:34
s25e5sr	25	5	sr	2010-10-29	11:19:00
s23e3td	23	3	td	NA	NA
s23e12ef	23	12	ef	2010-10-02	18:36:12
s23e2td	23	2	td	NA	NA
s23e10cf	23	10	cf	2010-10-02	13:51:34
s23e9cc	23	9	cc	2010-10-01	17:55:55
s17e14ef	17	14	ef	NA	NA
s17e13oi	17	13	oi	NA	NA
s17e9rp	17	9	rp	NA	NA
s17e7oi	17	7	oi	NA	NA
s17e2td	17	2	td	NA	NA
s17e8cr	17	8	cr	NA	NA
s17e11cc	17	11	cc	NA	NA
s17e10ef	17	10	ef	NA	NA
s17e5td	17	5	td	NA	NA
s17e6cc	17	6	cc	NA	NA
s17e1td	17	1	td	NA	NA
s17e12cc	17	12	cc	NA	NA
s17e4td	17	4	td	NA	NA
s17e3td	17	3	td	NA	NA
s26e10cr	26	10	cr	2010-11-08	11:08:03
s26e11ef	26	11	ef	2010-11-08	15:30:47
s26e4bl	26	4	bl	2010-11-05	11:46:55
s26e16cr	26	16	cr	2010-11-10	11:54:33
s26e6sr	26	6	sr	2010-11-06	12:19:28
s26e9oi	26	9	oi	2010-11-08	10:51:27
s26e15rp	26	15	rp	2010-11-10	11:42:08
s26e13cf	26	13	cf	NA	NA
s26e7rp	26	7	rp	2010-11-06	15:30:38
s26e1td	26	1	td	NA	NA
s26e3oi	26	3	oi	2010-11-05	11:26:42
s26e12rp	26	12	rp	2010-11-09	11:13:47
s26e2cr	26	2	cr	2010-11-04	15:34:06
s26e5ef	26	5	ef	2010-11-05	16:57:53
s26e8cf	26	8	cf	NA	NA
s26e14cr	26	14	cr	2010-11-09	15:08:24
s52e6cf	52	6	cf	NA	NA
s52e1td	52	1	td	NA	NA
s52e9sr	52	9	sr	NA	NA
s52e4ei	52	4	ei	NA	NA
s52e3ei	52	3	ei	NA	NA
s52e7cf	52	7	cf	NA	NA
s52e5ei	52	5	ei	NA	NA
s52e2st	52	2	st	2014-04-24	15:28:23
s1e2tr	1	2	tr	NA	NA
s16e4rp	16	4	rp	2009-09-12	14:38:14
s16e6rp	16	6	rp	2009-09-14	14:32:29
s16e2td	16	2	td	NA	NA
s16e1td	16	1	td	NA	NA
s16e7cc	16	7	cc	NA	NA
s16e3cc	16	3	cc	NA	NA
s16e5cr	16	5	cr	NA	NA
s39e3ir	39	3	ir	2012-02-10	10:40:24
s39e5ir	39	5	ir	2012-02-11	10:48:16
s39e1td	39	1	td	NA	NA
s39e7rk	39	7	rk	NA	NA
s39e4ir	39	4	ir	2012-02-10	15:14:14
s25e15ef	25	15	ef	2010-11-01	15:13:36
s25e8oi	25	8	oi	2010-10-30	14:53:36
s25e13oi	25	13	oi	2010-10-31	15:52:16
s25e11cr	25	11	cr	2010-10-31	12:26:56
s25e2cr	25	2	cr	2010-10-28	16:31:31
s25e16rp	25	16	rp	2010-11-01	15:27:33
s25e1td	25	1	td	NA	NA
s25e10rp	25	10	rp	2010-10-31	12:13:12
s25e4ef	25	4	ef	NA	NA
s25e5sr	25	5	sr	2010-10-29	11:19:00
s25e9ef	25	9	ef	2010-10-30	17:37:46
s25e18oi	25	18	oi	2010-11-01	18:13:04
s25e7cr	25	7	cr	2010-10-30	11:51:15
s25e14cr	25	14	cr	2010-11-01	12:17:02
s25e17cf	25	17	cf	2010-11-01	17:49:30
s25e6rp	25	6	rp	2010-10-30	11:38:31
s25e3oi	25	3	oi	2010-10-28	16:55:03
s25e12cf	25	12	cf	2010-10-31	15:28:02
s25e19cr	25	19	cr	2010-11-02	14:48:09
s15e2rp	15	2	rp	2009-08-18	12:27:52
s15e3rg	15	3	rg	NA	NA
s15e10cc	15	10	cc	NA	NA
s15e4cc	15	4	cc	NA	NA
s15e6sc	15	6	sc	NA	NA
s15e9ef	15	9	ef	NA	NA
s15e8rp	15	8	rp	2009-08-20	14:20:17
s15e1td	15	1	td	NA	NA
s15e11cr	15	11	cr	NA	NA
s15e5cr	15	5	cr	2009-08-19	10:43:47
s15e7cc	15	7	cc	NA	NA
s7e12sp	7	12	sp	NA	NA
s7e8sc	7	8	sc	NA	NA
s7e4td	7	4	td	NA	NA
s7e6td	7	6	td	NA	NA
s7e2td	7	2	td	NA	NA
s7e3td	7	3	td	NA	NA
s7e10sp	7	10	sp	NA	NA
s7e9sc	7	9	sc	NA	NA
s7e11ef	7	11	ef	NA	NA
s7e1td	7	1	td	NA	NA
s7e5sc	7	5	sc	NA	NA
s55e3ei	55	3	ei	NA	NA
s55e1td	55	1	td	NA	NA
s55e2ei	55	2	ei	NA	NA
s55e4sr	55	4	sr	2014-10-20	16:04:38
s51e2st	51	2	st	2013-05-02	15:18:08
s51e3ir	51	3	ir	NA	NA
s51e5rk	51	5	rk	NA	NA
s51e9rk	51	9	rk	NA	NA
s51e8bl	51	8	bl	2013-05-05	11:25:10
s51e1td	51	1	td	NA	NA
s51e6ir	51	6	ir	NA	NA
s51e10st	51	10	st	2013-05-06	11:24:43
s29e2td	29	2	td	NA	NA
s29e22cr	29	22	cr	2011-02-25	12:18:22
s29e19oi	29	19	oi	2011-02-23	14:35:37
s29e5ef	29	5	ef	2011-02-18	11:18:31
s29e16rp	29	16	rp	2011-02-22	14:37:21
s29e17cr	29	17	cr	2011-02-22	16:03:29
s29e4oi	29	4	oi	2011-02-17	13:59:07
s29e18cc	29	18	cc	2011-02-23	11:36:47
s29e25cf	29	25	cf	2011-02-28	14:38:57
s29e23cf	29	23	cf	2011-02-25	15:41:25
s29e14oi	29	14	oi	2011-02-21	16:54:48
s29e24ef	29	24	ef	2011-02-28	12:15:51
s29e8cr	29	8	cr	2011-02-19	11:00:49
s29e9oi	29	9	oi	2011-02-19	15:21:50
s29e7rp	29	7	rp	2011-02-19	10:44:56
s29e6sr	29	6	sr	2011-02-18	16:16:40
s29e11cf	29	11	cf	2011-02-20	16:36:08
s29e3td	29	3	td	NA	NA
s29e20rp	29	20	rp	2011-02-24	11:35:32
s29e10ef	29	10	ef	2011-02-20	14:14:10
s29e13rp	29	13	rp	2011-02-21	15:16:32
s29e21ef	29	21	ef	2011-02-24	16:19:53
s29e12cr	29	12	cr	2011-02-21	12:13:24
s29e15ef	29	15	ef	2011-02-22	11:55:56
s30e5cr	30	5	cr	2011-03-10	17:56:07
s30e3td	30	3	td	NA	NA
s30e8ef	30	8	ef	2011-03-13	11:57:54
s30e7sr	30	7	sr	2011-03-12	12:08:05
s30e6rk	30	6	rk	NA	NA
s30e4oi	30	4	oi	2011-03-10	15:10:56
s30e1td	30	1	td	NA	NA
s30e2td	30	2	td	NA	NA
s35e3cf	35	3	cf	NA	NA
s35e5ef	35	5	ef	2011-08-30	11:56:48
s35e4sr	35	4	sr	2011-08-28	18:03:59
s35e7vi	35	7	vi	NA	NA
s35e6rk	35	6	rk	NA	NA
s35e1td	35	1	td	NA	NA
s35e2ir	35	2	ir	2011-08-26	11:14:21
s37e6vi	37	6	vi	NA	NA
s37e7rk	37	7	rk	NA	NA
s37e1td	37	1	td	NA	NA
s37e8cf	37	8	cf	NA	NA
s37e3ir	37	3	ir	2011-11-10	16:56:57
s37e9rk	37	9	rk	NA	NA
s37e10sr	37	10	sr	2011-11-13	16:04:59
s37e5bl	37	5	bl	2011-11-11	15:55:33
s37e2ir	37	2	ir	2011-11-10	12:49:44
s37e4ir	37	4	ir	2011-11-11	11:15:10
s21e2td	21	2	td	NA	NA
s21e4td	21	4	td	NA	NA
s21e5td	21	5	td	NA	NA
s21e10cf	21	10	cf	NA	NA
s21e3td	21	3	td	NA	NA
s21e8cc	21	8	cc	2010-07-10	21:00:20
s21e9sr	21	9	sr	2010-07-11	16:07:25
s21e12cr	21	12	cr	2010-07-13	17:47:22
s21e11ef	21	11	ef	2010-07-13	13:26:04
s21e1td	21	1	td	NA	NA
s21e6oi	21	6	oi	2010-07-09	16:42:06
s21e7ef	21	7	ef	2010-07-10	17:58:29
s2e8td	2	8	td	NA	NA
s2e1td	2	1	td	NA	NA
s2e30td	2	30	td	NA	NA
s2e27td	2	27	td	NA	NA
s2e3td	2	3	td	NA	NA
s2e14td	2	14	td	NA	NA
s2e19td	2	19	td	NA	NA
s2e2td	2	2	td	NA	NA
s2e24td	2	24	td	NA	NA
s2e16vt	2	16	vt	NA	NA
s2e28td	2	28	td	NA	NA
s2e13td	2	13	td	NA	NA
